Name,Artifact Type,Category,Description,Tags,Classifications,Stewards,Related Terms,Business Start,Business End,Part of Terms,Type of Terms,Abbreviations,Data Classes,Synonyms,Secondary Categories
Corporate Communications,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management >> Corporate Relations,Develop and distribute key corporate messages as needed to support the strategy and maintain the enterprise reputation and brand,Service Domain,,,,,,,,,,,
Corporate Relationship,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management >> Corporate Relations,"Manage corporate relationships with key parties such as major clients, political and industry groups, user associations etc.",Service Domain,,,,,,,,,,,
Investor Relations,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management >> Corporate Relations,"Maintain investor relations, publish annual reports, interim statement and host investor meetings as necessary and appropriate",Service Domain,,,,,,,,,,,
Regulatory And Legal Authority,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management >> Compliance,"This service domain manages the effective relations with regulators, accounting and government agencies. It includes establishing contact, assigning relationship management responsibility, scheduling meetings and briefings as necessary and dealing with ad-hoc issues as they arise",Service Domain,,,,,,,,,,,
Archive Services,glossary_term,"BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Custody, Collateral And Documents","This operational facility provides long term archiving and retrieval services for physical documents and electronic media that are no longer in frequent use, but that need to be maintined for legal/regulatory reasons and may also possibly be referenced for operational purposes in the future. ",Service Domain,,,,,,,,,,,
Correspondence,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Channels >> Distribution,This service domain handles the automated generation of (batches of) pre-formatted correspondence. It also handles the tracking of expected responses to sent out mail requests and handles the matching of the response and the onward routing of these and all unsolicited inbound correspondence.,Service Domain,,,,,,,,,,,
Document Directory,glossary_term,"BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Custody, Collateral And Documents",The Document Services Service Domain support a range of document handling and verification functions. This Service Domain is used to register and record documents in a directory for ease of reference and is used in collaboration with Document Services ,Service Domain,,,,,,,,,,,
Document Services,glossary_term,"BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Custody, Collateral And Documents","The Document Services Service Domain manages the creation and maintenance of documents throughout the bank. As such it knows all document types and upon creation it fills in the variable content as supplied by fulfilment or orchestrating Service Domains. The domain is able to verify if documents that come from an outside source (customer) are valid for the purpose for which they have been submitted.
Sending of a document after creation is handled by Correspondence and storing by Document Library.",Service Domain,,,,,,,,,,,
Enterprise Tax Administration,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management >> Financial Control,Determine and optimize (though booking and allocation opportunities) the tax position of the enterprise and its subsidiaries,Service Domain,,,,,,,,,,,
Financial Compliance,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management >> Financial Control,Track the resolution of detected non compliance finance activities and instances,Service Domain,,,,,,,,,,,
Financial Control,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management >> Financial Control,Review and confirm the correct booking and financial conformance of financial activity to agreed budgets and procedures across the business units of the enterprise,Service Domain,,,,,,,,,,,
Financial Statements,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management >> Financial Control,"Consolidate and present the enterprise financial statements: this includes the balance sheet, statement of cash flows, statement of retained earnings and the income statement",Service Domain,,,,,,,,,,,
Employee Access,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Human Resources,Administer the systems and information access profile and authorities of an employee,Service Domain,,,,,,,,,,,
Employee and Contractor Contract,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Human Resources,"Negotiate and maintain the employment contract for full, part time and contract workforce members",Service Domain,,,,,,,,,,,
Employee Assignment,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Human Resources,"Orchestrate the assignment of individuals and groups to work tasks and positions, track current and projected utilization to inform resource planning and performance assessments",Service Domain,,,,,,,,,,,
Employee Benefits,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Human Resources,"Administer eligibility, subscription membership and access to employee benefits such as pensions, healthcare, holiday entitlement & services, personal finance advice, child care, counseling etc.",Service Domain,,,,,,,,,,,
Employee Certification,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Human Resources,"Test, confirm and certify employees for recognized and qualitative skills, qualification and experience measures (e.g. education and industry qualifications, general skills, experience based inferred skills)",Service Domain,,,,,,,,,,,
Employee Data Management,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Human Resources,"Maintain a comprehensive record of employee related details covering status and demographic attributes along with summary qualification, performance and appraisal data etc. to support workforce and individual management and administration activities",Service Domain,,,,,,,,,,,
Employee Evaluation,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Human Resources,"Periodically develop a fact based assessment of employee performance, matched to agreed staff performance goals. Combine appraisal input from managers, peers, managed employees and external customers and evaluation agents as appropriate",Service Domain,,,,,,,,,,,
Employee Payroll And Incentives,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Human Resources,"Administer the payment of salary, commission and incentives (includes stock/option grants) in compliance with the employment contract and discretionary awards",Service Domain,,,,,,,,,,,
Human Resources Direction,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management >> Business Direction,Develop and enforce HR policies and the overall HR plan for the enterprise (in coordination with subsidiaries and divisions as necessary),Service Domain,,,,,,,,,,,
Recruitment,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Human Resources,"Administer candidate identification, selection, evaluation and on-boarding of new employees in coordination with internal management and external recruitment and advisory agencies as necessary (e.g. for background checks)",Service Domain,,,,,,,,,,,
Travel and Expenses,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Human Resources,"Administer the authorization, booking, payment, recompense and accounting for travel and expenses incurred in the execution of employment activity",Service Domain,,,,,,,,,,,
Workforce Training,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Human Resources,"Develop and execute a training syllabus covering all general and specific business skills/knowledge requirements and leveraging different training mechanisms and channels as appropriate (classroom, on-line/context based, self taught, desk-side support etc.)",Service Domain,,,,,,,,,,,
Development Environment,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development >> Solution Development,"Select, maintain and operate the required combination of software development and operation tools, infrastructure and environments (includes version management)",Service Domain,,,,,,,,,,,
Internal Network Operation,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Platform Operations,"Operate the internal data/communications network, including the administration of access rights to productivity packages/applications and production system and production data access",Service Domain,,,,,,,,,,,
IT Standards And Guidelines,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development >> Solution Development,"Develop, maintain and enforce IT architectures, systems related policies and standards as appropriate. Select from industry standards, commercially available development and production environments, infrastructure platforms, systems development and deployment tooling and IT utilities/libraries. Define the IT acquisition, development, maintenance and usage guidelines and policies governing systems development and production use across the enterprise",Service Domain,,,,,,,,,,,
IT Systems Direction,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management >> Business Direction,"Define, communicate and direct the execution of the IT strategy and plan in support of the broader enterprise business strategy, plan and policies",Service Domain,,,,,,,,,,,
Operational Gateway,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Platform Operations,"The Operational Gateway Service Domain handles the secure sending and receiving of non-financial messages (and files) to and from professional entities outside the bank. The Service Domain may employ many different communication channels and mechanisms as appropriate for the type of information exchanged. The selected mechanism will need to consider volume and performance needs, security, channel availability and technical feasibility in addition to supporting different scheduling and exchange arrangements that may be needed. The operation of the external connection will usually be governed by an associated service level agreement (SLA)",Service Domain,,,,,,,,,,,
Platform Operations,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Platform Operations,Operate the full suite of production platforms/infrastructure. Includes scheduled operations and back-up/recovery capacity assurance,Service Domain,,,,,,,,,,,
Production Release,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development >> Product Management,Maintain and apply a comprehensive portfolio of functional and non-functional test evaluation criteria and test utilities for pre-release and in-flight solution quality assurance of production IT systems,Service Domain,,,,,,,,,,,
System Deployment,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Platform Operations,"Plan and execute the production roll-out of new and enhanced systems solutions, including pre-planning, training, acceptance testing and production cutover and adoption support",Service Domain,,,,,,,,,,,
System Development,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development >> Solution Development,Manage and execute the multi-threaded development of application solutions spanning bespoke development and commercial package integration,Service Domain,,,,,,,,,,,
Systems Administration,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development >> Solution Development,"Administer the installation, maintenance and configuration of computer systems, monitoring system performance and troubleshooting production issues. Also asses and ensuring the security and performance of systems, covering both licensed and owned technology for the complete range of hardware and software/middleware technology deployed throughout development and production activities within the bank. Oversee decommissioning and disposal of obsolete equipment",Service Domain,,,,,,,,,,,
Systems Assurance,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Platform Operations,"Orchestrate scheduled maintenance, installation/upgrades and repairs/fixes or the IT infrastructure and production platforms",Service Domain,,,,,,,,,,,
Systems Help Desk,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Platform Operations,"Operate the online/interactive production help desk and first level support activity. Capture, diagnose and resolve production systems issues and failures. Escalate issues to systems assurance as necessary",Service Domain,,,,,,,,,,,
Systems Operations,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Platform Operations,Operate the full suite of production applications. This includes scheduled operations and application data back-up/recovery procedures,Service Domain,,,,,,,,,,,
Intellectual Property Portfolio,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development >> Intelectual Property And Knowledge,"Administer the consolidated portfolio of intellectual property, ensuring entitlement and associated patent or copyright mechanisms are adopted and enforced. Leverage IP through licensing as appropriate",Service Domain,,,,,,,,,,,
Knowledge Exchange,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development >> Intelectual Property And Knowledge,"This service domains implements a general facility that enables the enterprise to consolidate, classify and provide structured access to all types of information gleaned from the workforce during their day to day execution of business. This includes market intelligence, product and procedural insights and expertise, identified competitor and customer practices and insights and any other form of general knowledge of potential value to inform business activity and support continual improvement",Service Domain,,,,,,,,,,,
Management Manual,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development >> Intelectual Property And Knowledge,"This service domains handles the development and distribution of the enterprise management manual. The manual covers all procedures in place at the bank that are to be adopted followed in specific situations. It provides guidance on required actions, responsibilities and accountability to ensure the integrity of the banks operations",Service Domain,,,,,,,,,,,
Approved Supplier Directory,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management >> Financial Control,Select and maintain as suitable collection of suppliers covering the range of requirements. Track performance and retain and deselect suppliers to maintain a competitive range of suppliers,Service Domain,,,,,,,,,,,
Company Billing and Payments,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management >> Financial Control,Handle the company billing and payments activity for company sales and purchases,Service Domain,,,,,,,,,,,
Fixed Asset Register,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Buildings And Equipment,"Maintain a central register of fixed assets, tracking status and applying appropriate depreciation to value representation",Service Domain,,,,,,,,,,,
Internal Audit,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management >> Corporate Services,This service domain administers the scheduled and ad-hoc application of internal audit and compliance reviews. This includes interpreting the banks policies and procedures that guide all aspects the bank's operations and determining which guidelines apply in specific circumstances across the enterprise. Support for interpreting guidelines are provided to activities in the bank that are subject to audit and scheduled and ad-hoc checks performed to confirm compliance,Service Domain,,,,,,,,,,,
Legal Advisory,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Advisory Services,Provide customers and bank employees with advice on legal aspects of product sales and servicing as well as on planned and executed transactions. The advice can take the form of an evaluation but it can also result in a legally correct document or a contract for the provisioning of a complex service or a product. Quite often legal advice is not a separately chargeable service that a bank provides to a customer. Rather it is part of a sales proces for a product or service or part of a servicing process for an existing product.,Service Domain,,,,,,,,,,,
Legal Compliance,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management >> Corporate Services,This service domain oversees legal compliance related considerations for the bank. This includes interpreting the laws that govern the bank's operations and determining which laws apply in specific circumstances across the enterprise. Support and guidelines are provided to activities in the bank that are subject to specific laws and support given to address legal matters that might arise,Service Domain,,,,,,,,,,,
Procurement,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management >> Buildings And Equipment,Coordinate the selection pricing and execution of purchase agreements and ensure compliance with purchasing policies,Service Domain,,,,,,,,,,,
Security Advisory,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management >> Corporate Services,Provide specialist security advice and guidance for line management and projects as needed to ensure security arrangements across the organization,Service Domain,,,,,,,,,,,
Security Assurance,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Management >> Corporate Services,"Maintain and apply a portfolio of security assurance checks, target selective assurance tests to ensure security countermeasures are in place and appropriate",Service Domain,,,,,,,,,,,
Account Reconciliation,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Accounting Services,"Match, reconcile and resolve identified discrepancies between selected financial accounts in collaboration with the account 'owner' as necessary",Service Domain,,,,,,,,,,,
Accounts Receivable,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Accounting Services,"Manage the tracking, chasing and receipt of scheduled payments against issued invoices. For the significant majority accounts are likely to be settled in compliance with established arrangements. For late payment the Service Domain includes actions to negotiate with the customer and handle defaulted payments",Service Domain,,,,,,,,,,,
Counterparty Risk,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management >> Credit Risk,Maintain and administer a counterparty risk rating,Service Domain,,,,,,,,,,,
Customer Position,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Accounting Services,"Individual products will maintain different financial views for the customer. This service domain consolidates financial details from all in-force products and services in order to derive a consolidated financial view which can include current (real-time) positions and projected/estimated values. The consolidated customer position can cover aspects such as cash flows/balances, credit and collateral positions and may derive actual and estimated/projected values",Service Domain,,,,,,,,,,,
Fraud Diagnosis,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Accounting Services,"Analyze suspect transaction with Customer behavior information across product portfolio, using Expert Systems /Artificial Intelligence and/or manual review, including customer contact to determine if transaction is fraudulent.  Further apply Economic Model to determine transaction disposition and notify applicable Product Fulfillment SDs.",Service Domain,,,,,,,,,,,
Fraud Evaluation,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Accounting Services,This service domain handles the structured execution of fraud detection tests/routines that are used to identify possible fraud by detecting out of pattern behaviors. The tests may run in-line with production or may access transaction logs as appropriate. Detected anomalies are passed for further analysis and resolution.,Service Domain,,,,,,,,,,,
Position Keeping,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Accounting Services,"Maintain a log of financial transactions for management information, tracking and reconciliation purposes.  It can offer utilities that enable it to maintain balances/positions, to calculate interest and to support transaction reconciliation activities The financial transactions are subsequently posted to the accounting systems",Service Domain,,,,,,,,,,,
Position Management,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management >> Market Risk,"Maintain on-line and near-time cross account complex positions. Includes consolidated currency, instrument, sector and counterparty views as appropriate",Service Domain,,,,,,,,,,,
Product Combination,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Operational Services,The Product Combination service domain allows a bank to assemble a composite product from two or more existing products. The combination framework implements necessary functional constraints on the 'contained products' and handles considerations such as transfer pricing where the profitability of embedded products may be compromised to ensure management analysis is not distorted,Service Domain,,,,,,,,,,,
Reward Points Account,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Accounting Services,Track/log the allocation and remittance of rewards points. The service domain acts as a transaction log similar where the instrument is not subject to interest considerations (as with cash) but may have a finite life-time with expiry dates on reward points,Service Domain,,,,,,,,,,,
Securities Position Keeping,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Accounting Services,"Maintain a log of securities transactions for investment account management information, tracking and reconciliation purposes. The facility simply maintains transaction activity details for a collection of instruments, which includes dividend and other corporate action related actions where appropriate. The transaction log is used to maintain the holding positions",Service Domain,,,,,,,,,,,
Transaction Engine,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Clearing And Settlement,The Service Domain provides a utility/background operational support service to orchestrate a schedule of payment transaction and reporting activities for the fulfillment of certain long term instruments or structured facilities. The Service Domain maintains a link to the associated fulfillment Service Domain and the applicable product instance for reporting and processing issues that may arise.,Service Domain,,,,,,,,,,,
Collateral Allocation Management,glossary_term,"BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Custody, Collateral And Documents",Collateral Allocation Management oversees the allocation of a party asset when pledged as collateral to one or more loans. Specific reference details of the asset are maintained in the Party Asset Directory Service Domain. The valuation of an asset is organized by the Party Asset Directory. A valuation can be requested by the Collateral Allocation Management Service Domain. Collateral Allocation Management also determines the portion of an asset value that can be applied or can still be applied as collateral. This will depend on the asset type and specific policies of the bank. ,Service Domain,,,,,,,,,,,
Collateral Asset Administration,glossary_term,"BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Custody, Collateral And Documents","This service domain handles the oversight, administration and confirmation of maintenance tasks associated with different types of collateral items. This includes arranging for scheduled and ad-hoc collateral valuations, item status/documentation and title checks and tracking upkeep actions that the item owner is obliged to undertake (such as insuring a house)",Service Domain,,,,,,,,,,,
Collections,glossary_term,"BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Custody, Collateral And Documents",Administer the recovery and/or liquidation of collateral against problem accounts,Service Domain,,,,,,,,,,,
Party Asset Directory,glossary_term,"BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Custody, Collateral And Documents","The Party Asset Directory maintains reference details of non-bank owned assets with which the bank may have some interest. In the most common case, the owning party will be a bank customer and the bank's interest will be when the referenced asset is pledged to the bank as collateral. There can be other reasons that the bank will maintain reference details about non-bank owned assets. The assets can be of a variety of types, like equipment and inventory, cars and other consumer durables, and title to land and buildings. The directory may also maintain reference details of financial instrument assets a party holds with the bank and other financial institutions.",Service Domain,,,,,,,,,,,
Card Collections,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Operational Services,"The card collection process relates to the determination and execution of the optimal strategy to ensure the collection of unsecured distressed card debt, which may include aggressive collection efforts, renegotiation of payments terms in order to improve customer commitment to make the payment, or to take any applicable legal actions against the customer.",Service Domain,,,,,,,,,,,
Card Transaction Switch,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Operational Services,"This service domain handles the processing and asynchronous switching of Card Transaction related messages, such as Authorization, Sale, Void, Refund, etc. between the Acquiring Bank and the Issuing Bank through the Card Network. It has a role within the Acquiring Bank in switching transactions acquired from the Merchant to the Card Network, within the Card Network to switch the transaction to the applicable Card Issuer, and within the Card Issuer to switch the transaction to the instance of the Card Authorization service domain for the card product involved.",Service Domain,,,,,,,,,,,
Channel Activity Analysis,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Business Development >> Channel Management,"Channel activity analysis provides a range of analytical insights into channel use to support access controls, relationship sales and development approaches and to help detect possible fraudulent activity",Service Domain,,,,,,,,,,,
Channel Activity History,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Channels >> Cross Channel,This service domain captures transaction activity across multiple channels/devices to provide recent activity details (such as an attempt at a self-service product application) to influence/inform service routing. The history is also used for access control and as a source of activity data for more detailed channel usage analysis,Service Domain,,,,,,,,,,,
Customer Billing,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Operational Services,This service domain provides a general customer billing service. The service domain is provided with the applicable fees and charges that are authorized for invoicing typically by a product or service fulfillment service domain. Processing can include verification and authorizations steps and the invoice could be issued as a single transaction or a schedule of transactions.,Service Domain,,,,,,,,,,,
Delinquent Account Handling,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Operational Services,"This service domain determines and executes strategies for eliciting payment from high risk accounts. These strategies may include communicating with the customer through text messages, emails or phone calls. The account may continue to maintain some facilities at this stage. Eventually it can be necessary to reduce the credit line or block the account to prevent further increase in risk, or to cancel theaccount and transfer it to Collections. ",Service Domain,,,,,,,,,,,
Disbursement,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Operational Services,This service domain handles the disbursement of funds typically for different loan facilities. Though typically a rather simple service it is modeled as a discrete service center as many banks handle disbursements from a specialist unit,Service Domain,,,,,,,,,,,
Internal Bank Account,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Operational Services,"The Internal Bank Accounts Service Domain manages holding accounts, mirror accounts, working accounts etc. that are required for the booking of that part of a transaction in the bank world (so not in the accounting world) that is not to be booked on a customer account. This is typically the case when amounts cannot immediately be booked on a final account for duty seggregation or processing reasons or in order to mirror bookings on external accounts, like nostro accounts.",Service Domain,,,,,,,,,,,
Issued Device Administration,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Operational Services,"This service domain administers the inventory management and allocation/issuance for all issued devices and materials (e.g. cards). This covers credit/debit cards and can include other identification/authentication devices such as keychain fobs. it also handles virtual token inventory such as passwords, secret questions and biometric records (signatures, voice/image). An aspect of the administration includes maintaining device reference details and states such as operating system release and age/duration in use. Specific product/service access permissions can be associated with an issued device",Service Domain,,,,,,,,,,,
Issued Device Tracking,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Operational Services,"This service domain tracks and reports on the state (e.g. suspended, flagged for possible fraud, cancelled) for all issued devices. This covers credit/debit cards and can include other identification devices such as keychain fobs and virtual authentication devices such as electronic signatures, passwords and keys. It may use an external service provider to obtain notifications and is responsible for providing notifications to external services when the bank detects problems with its own issued devices",Service Domain,,,,,,,,,,,
Leasing Item Administration,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Products >> Loans and Deposits,"This service domain handles the oversight, administration and confirmation that any required maintenance tasks that are associated with a leased item that is the subject of a leasing agreement financed through the bank. This can include scheduled and ad-hoc item valuations, status/documentation and title checks and tracking upkeep actions that the item owner is obliged to undertake (such as obtaining certification and insurance)",Service Domain,,,,,,,,,,,
Open Item Management,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations >> Operational Services,This service domain handles open item processing against accounts typically for loans. It enables a unit to handle resolution across multiple accounts as a specialized/centralized administrative activity,Service Domain,,,,,,,,,,,
Processing Order,glossary_term,BIAN Hierarchies >> Service Landscape - Value Chain >> Channels >> Cross Channel,"The Processing Order Service Domain handles the processing of a service request that comes in via a secure channel from a known requestor, which is typically an automated process itself and not a customer. The request may impact multiple products and services and can involve several processing steps for which it may do the orchestration. By this nature it differs from Servicing Order, which handles the orchestration of requests that originate from a customer.",Service Domain,,,,,,,,,,,
