Name,Artifact Type,Category,Description,Tags,Stewards,custom_Referenced Topic,custom_KA Version,custom_Alignment Version,custom_KA Copyright
Sales,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Customers,"Drive prospect, customer cross-sell, up-sell and retention campaigns. Match products to customers and process offers",Business Domain,,,,,
Compliance,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management,Handle relations and reporting with regulators. Provide regulatory and audit compliance oversight and specialist support internally,Business Domain,,,,,
Credit Risk,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management,"The set of activities that model, measure and mitigate the probability of loss due to a borrower’s failure to make payments on any type of debt.  ",Business Domain,,,,,
Financial Control,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management,Agree and track business unit performance to budget. Oversee financial accounting. Consolidate and report on the bank’s financial statements and tax position. Administer approved suppliers list and handle company billing and payments,Business Domain,,,,,
Group Treasury,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management,Consolidate and analyse the bank’s ‘book of business’. Handle corporate treasury's tactical and strategic funding functions and trigger asset securitization initiatives as necessary,Business Domain,,,,,
Market Risk,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management,"The set of activities to manage the risk of losses in positions arising from movements in market prices as a result of different aspects of market risk. Types of market risk to be managed are amongst others ""Equity risk"",  ""Intrest Rate Risk"", ""Currency Risk"",  etc. These are called systemic risk, which means that the risk is not related to a specific financial instrument. Typical activities are modeling , measuring, analyzing and metigating  volatility of prices caused by market risk factors. ",Business Domain,,,,,
Operational Risk,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Finance And Risk Management,Define and support the adoption of models and mitigation approaches for business operational and production risk,Business Domain,,,,,
Accounting Services,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations,Maintain transaction accounting and financial ledgers. Provide account reconciliation services and run account fraud detection routines. Administer consolidated customer tax positions and maintain rewards points accounts,Business Domain,,,,,
Clearing And Settlement,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations,"Clear and settle market trades, allocate orders, maintain counterparty and correspondent details. Handle check processing, correspondent bank and ACH interactions and payment fulfillment activities",Business Domain,,,,,
"Custody, Collateral And Documents",category,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations,Provide custody services and manage collateral allocation and administration. Handle troubled account recovery. Run document classification and distribution services and archiving,Business Domain,,,,,
External Agency,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations,"Manage relations with banks, sub-custodians, correspondent banks, service partners and service providers/agencies. Manage and process 3rd party commissions",Business Domain,,,,,
Operational Services,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Operations,"Handle customer billing and payments and accounts receivable. Administer reward point allocation and redemptions. Administer and operate issued and tracked device services (cards, fobs, POS devices etc.)",Business Domain,,,,,
Advisory Services,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Products,"Handle the delivery of specialist financial advisory services for M&A, corporate finance and corporate and consumer tax reporting",Business Domain,,,,,
Cards,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Products,"Handle the initial card product set-up and servicing requests (card authorization and capture). Handle the card network interactions, billing and merchant agreements, liaison and production support activities",Business Domain,,,,,
Consumer Banking,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Products,Handle the initial set-up and all subsequent servicing fulfillment requests and scheduled product processing for consumer banking products,Business Domain,,,,,
Corporate Banking,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Products,Handle the initial set-up and all subsequent customer servicing/fulfillment requests and scheduled product processing for corporate cash management and trust management products ,Business Domain,,,,,
Corporate Finance,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Products,"Handle the set-up, management, offering and delivery activities associated with different investment products such as investment funds and corporate debt/equity issuance (ECM/DCM)",Business Domain,,,,,
Loans and Deposits,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Products,Handle the initial set-up and all subsequent customer servicing/fulfillment  requests and scheduled product processing tasks for loans and deposits,Business Domain,,,,,
Market Operations,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Products,"Oversee money and capital market trading activity, handle trade confirmation and matching, securities receipt and delivery, trade and price reporting and corporate events",Business Domain,,,,,
Market Trading,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Products,"Manage trading book positions, provide quotes and trade in money and capital markets including FX/MM, Equities, Fixed income, Commodities and Derivatives. Support program/ and high frequency trading (HFT)",Business Domain,,,,,
Trade Banking,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Products,Handle the set-up and servicing of trade related products and services including bank guarantees,Business Domain,,,,,
Buildings And Equipment,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management,"Handle procurement processing, maintain the fixed asset register and oversee all maintenance, security and operations of office equipment, buildings and utilities",Business Domain,,,,,
Human Resources,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management,"Handle staff recruitment, training, payrol and benefits administration.  Undertake staff certification and appraisal activities. Oversee staff assignments and administer staff access and entitlements",Business Domain,,,,,
Platform Operations,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management,"Manage new and updated production systems testing, deployment and operations. Provide production support (help desk)",Business Domain,,,,,
Unit Management,category,BIAN Hierarchies >> Service Landscape - Value Chain >> Resource Management,"Define, implement and revise the business unit plan, oversee and administer unit activity and finances and troubleshoot operational issues",Business Domain,,,,,
